model,file_name,car_id,car_score,avg_gt_depth,avg_pred_depth,rmse,horizontal_angle
VideoDepth_Metric,0000000005.png,0,0.992322,13.609392173233006,12.787788291461089,2.4524830030964493,-9.389325863410221
VideoDepth_Relative,0000000005.png,0,0.992322,13.609392173233006,11.916579221353771,4.027180575507197,-9.389325863410221
VideoDepth_Metric,0000000005.png,1,0.908172,29.05569683305369,28.29585529447278,3.766324641282539,6.023349038401227
VideoDepth_Relative,0000000005.png,1,0.908172,29.05569683305369,28.21642329068792,5.773238494167949,6.023349038401227
VideoDepth_Metric,0000000005.png,3,0.967079,17.188039393095767,17.020893970418395,2.0721258994969864,-0.37284914661754
VideoDepth_Relative,0000000005.png,3,0.967079,17.188039393095767,16.856372747519742,2.8320693703298794,-0.37284914661754
VideoDepth_Metric,0000000005.png,5,0.998504,5.6613040374257055,5.136887052663666,2.1859293646037345,-25.366531920568143
VideoDepth_Relative,0000000005.png,5,0.998504,5.6613040374257055,4.885662222400706,3.0299902765437636,-25.366531920568143
VideoDepth_Metric,0000000006.png,0,0.970812,13.526090287264724,12.250193750187929,4.006888374470487,-9.74184069821863
VideoDepth_Relative,0000000006.png,0,0.970812,13.526090287264724,11.56754858870229,5.8905063312912125,-9.74184069821863
VideoDepth_Metric,0000000006.png,1,0.950623,28.76129052473262,27.80877879364774,3.6223065078870373,6.124237585023407
VideoDepth_Relative,0000000006.png,1,0.950623,28.76129052473262,28.150963506851607,5.7303109689286575,6.124237585023407
VideoDepth_Metric,0000000006.png,3,0.985862,16.92353320868946,16.79197125440849,1.7307167808728559,-0.7719268510757311
VideoDepth_Relative,0000000006.png,3,0.985862,16.92353320868946,16.256692526223777,3.0920444160282545,-0.7719268510757311
VideoDepth_Metric,0000000006.png,5,0.998281,5.484730113636363,4.950419075701655,1.8114057716739822,-27.10870009867768
VideoDepth_Relative,0000000006.png,5,0.998281,5.484730113636363,4.663789313452569,2.5407927287315255,-27.10870009867768
VideoDepth_Metric,0000000007.png,0,0.98971,12.688405922826776,11.772231622037786,2.9167995245259175,-10.27165114693411
VideoDepth_Relative,0000000007.png,0,0.98971,12.688405922826776,11.23975402522208,4.407507283383035,-10.27165114693411
VideoDepth_Metric,0000000007.png,2,0.976624,16.677726929796695,16.504469057829468,1.569006156028653,-1.1776015631495764
VideoDepth_Relative,0000000007.png,2,0.976624,16.677726929796695,16.378756894709483,3.156553107192424,-1.1776015631495764
VideoDepth_Metric,0000000007.png,4,0.998221,5.3873171131871525,5.351174962210874,1.4936041657844488,-28.333418754058354
VideoDepth_Relative,0000000007.png,4,0.998221,5.3873171131871525,5.154172811148857,2.153876309967644,-28.333418754058354
VideoDepth_Metric,0000000007.png,5,0.975532,28.843380489864863,27.423536772156982,4.372537841397668,6.119467953283187
VideoDepth_Relative,0000000007.png,5,0.975532,28.843380489864863,25.28880256321662,7.648074741155936,6.119467953283187
VideoDepth_Metric,0000000008.png,0,0.991655,16.3990964456869,16.21973799925775,1.4542776422223178,-1.4777025588220112
VideoDepth_Relative,0000000008.png,0,0.991655,16.3990964456869,15.732399899291568,3.0916996113665234,-1.4777025588220112
VideoDepth_Metric,0000000008.png,1,0.965689,12.178572935418542,11.173202929298007,3.53408146734952,-10.736295763185726
VideoDepth_Relative,0000000008.png,1,0.965689,12.178572935418542,10.4054810998678,5.1021873283077674,-10.736295763185726
VideoDepth_Metric,0000000008.png,3,0.987456,29.206696862840467,26.810965734980574,5.658720460515543,6.171311701014016
VideoDepth_Relative,0000000008.png,3,0.987456,29.206696862840467,25.996936626724445,10.158616871136525,6.171311701014016
VideoDepth_Metric,0000000008.png,6,0.995909,5.058121565934066,5.170495924495686,1.6744275233636472,-29.489098925130605
VideoDepth_Relative,0000000008.png,6,0.995909,5.058121565934066,4.857868303571428,2.228700855694624,-29.489098925130605
VideoDepth_Metric,0000000009.png,0,0.980117,11.456262226134585,10.627674882375983,2.9291497308440433,-11.248816221396028
